date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:22:12	86362/86362	---M--	200	added ('OK')	image/png	etag:%226a0ab6c4-1515a%22	https://huystackai.github.io/img/vhyltd.png	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/vhyltd.png	(from https://huystackai.github.io/)
10:22:13	213561/213561	---M--	200	added ('OK')	image/png	etag:%226a0ab6c4-34239%22	https://huystackai.github.io/img/logoyenvan.png	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/logoyenvan.png	(from https://huystackai.github.io/)
10:22:13	335/335	---M--	200	added ('OK')	image/png	etag:%2268640148-14f%22	https://flagcdn.com/w80/vn.png	C:/Users/ACER/Downloads/pfNA/flagcdn.com/w80/vn.png	(from https://huystackai.github.io/)
10:22:13	430/430	---M--	200	added ('OK')	image/png	etag:%2268640148-1ae%22	https://flagcdn.com/w80/us.png	C:/Users/ACER/Downloads/pfNA/flagcdn.com/w80/us.png	(from https://huystackai.github.io/)
10:22:13	315/315	---M--	200	added ('OK')	image/png	etag:%2268640148-13b%22	https://flagcdn.com/w80/cn.png	C:/Users/ACER/Downloads/pfNA/flagcdn.com/w80/cn.png	(from https://huystackai.github.io/)
10:22:14	128050/128050	---M--	200	added ('OK')	image/jpeg	etag:%226a0ab6c4-1f432%22	https://huystackai.github.io/img/DLtumor.jpg	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/DLtumor.jpg	(from https://huystackai.github.io/)
10:22:14	193852/193852	---M--	200	added ('OK')	image/jpeg	etag:%226a0ab6c4-2f53c%22	https://huystackai.github.io/img/MLlogistics.jpg	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/MLlogistics.jpg	(from https://huystackai.github.io/)
10:22:14	82263/82263	---M--	200	added ('OK')	image/jpeg	etag:%226a0ab6c4-14157%22	https://huystackai.github.io/img/realtime.jpg	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/realtime.jpg	(from https://huystackai.github.io/)
10:22:14	18332/18332	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a0ab6c4-479c%22	https://huystackai.github.io/js/script.js	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/js/script.js	(from https://huystackai.github.io/)
10:22:15	385992/385992	---M--	200	added ('OK')	image/jpeg	etag:%226a0ab6c4-5e3c8%22	https://huystackai.github.io/img/yoga.jpg	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/yoga.jpg	(from https://huystackai.github.io/)
10:22:15	3129996/3129996	---M--	200	added ('OK')	image/png	etag:%226a0ab6c4-2fc28c%22	https://huystackai.github.io/img/banner.png	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/img/banner.png	(from https://huystackai.github.io/css/style.css)
10:22:15	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269a01f78-24a3%22	https://huystackai.github.io/css/img/banner.jpg	C:/Users/ACER/Downloads/pfNA/huystackai.github.io/css/img/banner.jpg	(from https://huystackai.github.io/css/style.css)
